name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,category_survey_email_address,naics_code,create_dt,billing_unit,began_transacting_in_ct,business_name_in_state_country,sub_status,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_3,office_jurisdiction_3,date_of_organization_meeting,total_authorized_shares,mail_jurisdiction,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,dissolution_date,mailing_international_address,records_address_unit
GARCIA CONTRACTING & MANAGEMENT LLC,LLC,Active,2355947,2022-03-31,287 QUINNIPIAC AVE,NORTH HAVEN,United States,06473,CT,efile1234@incfile.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,efile1235@incfile.com,Residential Property Managers (531311),2021-11-10 00:06:47.6400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JCRO HOMES LLC,LLC,Active,2355952,2022-03-31,48 WINSLOW DR,WEST HAVEN,United States,06516,CT,efile1234@incfile.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,efile1235@incfile.com,Lessors of Other Real Estate Property (531190),2021-11-10 00:06:47.6566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRACE LIGHT LLC,LLC,Active,2355964,2022-03-31,29 CHURCH ST APT 1FL,BRANFORD,United States,06405,CT,contact@amesur.net,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,True,False,False,contact@amesur.net,Other Direct Selling Establishments (454390),2021-11-10 00:06:47.6400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prim L'Marie LLC,LLC,Active,2355987,2022-03-31,660 Mix Ave,Hamden,United States,06514-2381,CT,shopprimlmarie@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,True,False,False,,Children's and Infants' Clothing Stores (448130),2021-11-10 00:06:47.0933333,2M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laundry On Wheels Limited Liability Company,LLC,Active,2355971,2022-03-31,1525 Central Ave,Bridgeport,United States,06610,CT,elisee920@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,True,False,False,,Coin-Operated Laundries and Drycleaners (812310),2021-11-10 00:06:47.6566667,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photography by George V LLC,LLC,Active,2355992,2022-03-31,248 W Cedar St,Norwalk,United States,06854-1810,CT,photographyserviceinct@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,"Photography Studios, Portrait (541921)",2021-11-10 00:06:47.0600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST AUTO  REPAIR Inc.,Stock,Active,2355975,2022-10-25,455 Middlefield St,Middletown,United States,06457-4471,CT,fastautorepair01@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,"Automotive Body, Paint, and Interior Repair and Maintenance (811121)",2021-11-10 00:06:47.6566667,,,,,,,,,,,,,,,,,,,2021-10-01,15000.0,,,,,,,,,,
Liz Rosiello Designs Limited Liability Company,LLC,Active,2356015,2022-03-31,159 Grove St,New Milford,United States,06776,CT,lizrosiellodesigns@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,False,False,False,,Graphic Design Services (541430),2021-11-10 00:06:47.6566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tutor with Tiarra LLC,LLC,Active,2355990,2022-03-31,179 Allyn Street,Hartford,United States,06103,CT,ubutt@bracctax.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,False,False,False,,Administration of Education Programs (923110),2021-11-10 00:06:47.6566667,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUTYBYASHLEYDELGADO LLC,LLC,Active,2355993,2022-03-31,26 MENCEL CIR,BRIDGEPORT,US,06610,CT,,Domestic,,2021-10-01,,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:47.6100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLOW THE BARBER LLC,LLC,Active,2356001,2022-03-31,80 Dubois St,Darien,United States,06820-5226,CT,wilkinflow22@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,True,False,False,,Barber Shops (812111),2021-11-10 00:06:47.6566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C&H Legacy Group LLC,LLC,Active,2356019,2022-03-31,3 Essex Road,New Milford,United States,06776,CT,llcsupport@primecorporateservices.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,Electronic Shopping and Mail-Order Houses (454110),2021-11-10 00:06:47.1100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Buren Electrical Contractors LLC,LLC,Active,2356030,2022-03-31,3 Reichert Cir,Westport,United States,06880-2641,CT,davidcrager@optonline.net,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,Electrical Contractors and Other Wiring Installation Contractors (238210),2021-11-10 00:06:47.0600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.CAT CT Property LLC,LLC,Active,2356057,2022-03-31,14.5 Lester Street,ansonia,United States,06401,CT,anthonyjtrang@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,kirsten@ctclosingattorneys.com,Lessors of Other Real Estate Property (531190),2021-11-10 00:06:47.0766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.JSFG CT Property LLC,LLC,Active,2356039,2022-03-31,14 Lester St,Ansonia,United States,06401-1758,CT,jerry_fung@hotmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,kirsten@ctclosingattorneys.com,Lessors of Other Real Estate Property (531190),2021-11-10 00:06:47.6566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buckland Holdings, LLC",LLC,Active,2356047,2022-03-31,4 Worthington Road,Somers,United States,06071,CT,asbbronze@aol.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:47.1100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PPD MEDICAL COMMUNICATIONS, LLC",LLC,Active,2356054,2022-03-31,929 NORTH FRONT STREET,WILMINGTON,USA,28401,NC,HANK.GEROCK@PPDI.COM,Domestic,,2021-10-01,,Connecticut,False,False,False,False,False,,873100,2021-11-10 00:06:47.0766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MY SWEET DREAM LLC,LLC,Active,2356056,2022-03-31,15 VICTORY STREET,STAMFORD,United States,06902,CT,agencysilesia@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:47.0600000,APT. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIAWAH COTTAGE LLC,LLC,Active,2356058,2022-03-31,902 SILVERMINE RD.,NEW CANAAN,US,06840,CT,ikarl@karldirect.com,Domestic,,2021-10-01,,Connecticut,False,False,False,False,False,,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:47.6100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JM STEEL CONSTRUCTION LLC,LLC,Active,2356062,2022-03-31,27 Crows Nest Ln,Danbury,United States,06810-7056,CT,generalhelpct@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,All Other Specialty Trade Contractors (238990),2021-11-10 00:06:47.0600000,11J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Cut Barber LLC,LLC,Active,2356065,2022-03-31,12B Mountain Ave,Bloomfield,United States,06002-2361,CT,caseta.paul@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,True,False,False,,Barber Shops (812111),2021-11-10 00:06:47.1100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJR Realty LLC,LLC,Active,2356070,2022-03-31,74 St. John's Road,Wilton,United States,06897,CT,jdowning@peacockhome.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:47.6566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIKE HOME DAYCARE LLC,LLC,Active,2356067,2022-03-31,181 HOLLAND LN.,EAST HARTFORD,US,06118,CT,likehomecareusa@gmail.com,Domestic,,2021-10-01,,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:47.6100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENESE LEGACY LLC,LLC,Active,2356072,2022-03-31,19 WOODBRIDGE AVE,EAST HARTFORD,United States,06108,CT,miguel.correa@sunrisetax.net,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,True,False,False,miguel.correa@sunrisetax.net,All Other Personal Services (812990),2021-11-10 00:06:47.0766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RE Fund LLC,LLC,Active,2356087,2022-03-31,97 River Rd,Deep River,United States,06417,CT,williamjdockery@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,gbusch@emmetmarvin.com,,2021-11-10 00:06:47.0600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De'Ville Trucking LLC,LLC,Active,2356084,2022-03-31,35 Harpers Ferry Rd,Waterbury,United States,06705-1840,CT,mrcivitello@aol.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,"General Freight Trucking, Long-Distance, Truckload (484121)",2021-11-10 00:06:47.0600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2SEVENTY BIO, INC.",Stock,Active,2356091,2022-10-01,60 BINNEY STREET,CAMBRIDGE,US,02142,MA,,Foreign,US,2021-10-01,,DE,False,False,False,False,False,,541711,2021-11-10 00:06:47.6566667,,2021-10-01,"2SEVENTY BIO, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,
AIV Tech LLC,LLC,Active,2356093,2022-03-31,20 Hickory Ln,Ridgefield,United States,06877-5214,CT,abdullanawaz99@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,Electronic Shopping and Mail-Order Houses (454110),2021-11-10 00:06:47.0600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW Logistics LLC,LLC,Active,2356100,2022-03-31,2 Arrowhead Drive,Ledyard,United States,06339,CT,kwelsh1986@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,dave@pazzaglialaw.com,"General Freight Trucking, Long-Distance, Truckload (484121)",2021-11-10 00:06:47.6100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger Ten Capital LLC,LLC,Active,2356119,2022-03-31,27 Coalpit Hill Rd,Danbury,United States,06810-8001,CT,matthew_2@sbcglobal.net,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,matthew_2@sbcglobal.net,Electronic Shopping and Mail-Order Houses (454110),2021-11-10 00:06:47.6233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUNKEN ROAD, INC.",Stock,Active,2356114,2022-10-01,"14 PENN PLAZA, SUITE 2000",New York,United States,10122,NY,agent@platinumfilings.com,Foreign,,2021-10-01,NEW YORK,NEW YORK,False,False,False,False,False,,"Independent Artists, Writers, and Performers (711510)",2021-11-10 00:06:47.6233333,,2021-10-01,"SUNKEN ROAD, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"EL TABERNACULO de DAVID, INC.",Non-Stock,Active,2356121,2022-10-22,1805 Park Street,Hartford,United States,06106,CT,tabernaculodedavid432@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,True,False,False,,Religious Organizations (813110),2021-11-10 00:06:47.6233333,,,,,,,,,,,,,,,,,,,2021-10-01,,,,,,,,,,,
"LE Collectibles, LLC",LLC,Active,2356126,2022-03-31,180 Inwood Rd,Fairfield,United States,06825-1639,CT,lsarezky@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,lsarezky@gmail.com,,2021-11-10 00:06:47.6233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ROUGH RIDER RENTALS, LLC",LLC,Active,2356127,2022-03-31,110 ONECO ST.,NORWICH,US,06360,CT,,Domestic,,2021-10-01,,Connecticut,False,False,False,False,False,,441228,2021-11-10 00:06:47.6400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJC Construction Services LLC,LLC,Active,2356131,2022-03-31,20 Stanley St,New Haven,United States,06511-4217,CT,fernando15-1990@hotmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,True,False,False,,"All Other Professional, Scientific, and Technical Services (541990)",2021-11-10 00:06:47.6233333,3rd fl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Childsplay Stamford, LLC",LLC,Active,2356143,2022-03-31,15 Crestline Ct,Owings Mills,United States,21117-4336,MD,tnoyes@gsclarksburg.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,dbayer@bayerandblack.com,Child Day Care Services (624410),2021-11-10 00:06:47.6233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nunez Consulting Services L.L.C.,LLC,Active,2356149,2022-03-31,39 Adams St,Bridgeport,United States,06607-2402,CT,daseannunez@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,True,True,False,False,,,2021-11-10 00:06:47.6400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMC Transportations LLC,LLC,Active,2356142,2022-03-31,116 Berkley St,New Britain,United States,06051-3740,CT,jmctransportations81@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,True,False,False,,"General Freight Trucking, Local (484110)",2021-11-10 00:06:47.6233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost Apples Farm LLC,LLC,Active,2356162,2022-03-31,4 Appletree Ln,North Granby,United States,06060-1324,CT,lostapplesfarm@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,joeg@koveragegroup.com,Apple Orchards (111331),2021-11-10 00:06:47.6400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALJUCA Capital LLC,LLC,Active,2356148,2022-03-31,27 Center st,Danbury,United States,06810,CT,aljucacapital@outlook.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,aljucacapital@outlook.com,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:47.6400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominic I LLC,LLC,Active,2356159,2022-03-31,52 Van Horn Dr,East Haven,United States,06512-1351,CT,dominicslainte@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,Other Direct Selling Establishments (454390),2021-11-10 00:06:47.6400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KOYETECH, LLC",LLC,Active,2356158,2022-03-31,2389 Main Street,Glastonbury,United States,06033,CT,ram.koyyada@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:47.6400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HOPEMD CONCIERGE HEALTH & MEDICAL AESTHETICS, LLC",LLC,Active,2356165,2022-03-31,124A Windermere Ave,Ellington,United States,06029,CT,almodovarmd@hopemd.org,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:47.0766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayfair Group LLC,LLC,Active,2356164,2022-03-31,61 Bank St,New London,United States,06320,CT,dwaynestallings97@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,True,False,False,,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:06:47.6400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bardot Boutique Aesthetics LLC,LLC,Active,2356170,2022-03-31,317 West Ave #113197,Stamford,United States,06911,CT,sbastrong@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,filings@swyftfilings.com,Offices of All Other Miscellaneous Health Practitioners (621399),2021-11-10 00:06:47.6400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bea Beauty Bar LLC,LLC,Active,2356171,2022-03-31,18 Nonquit St,West Haven,United States,06516-1419,CT,yvonnebeavogui@yahoo.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,True,False,False,,Beauty Salons (812112),2021-11-10 00:06:47.0766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prichard Farms LLC,LLC,Active,2356174,2022-03-31,62 Main St,Ellington,United States,06029,CT,starhardware64@yahoo.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,starhardware64@yahoo.com,Beef Cattle Ranching and Farming (112111),2021-11-10 00:06:47.6566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Classic Express, LLC",LLC,Active,2356177,2022-03-31,365 S Broad St,Meriden,United States,06450-6646,CT,samerasami2018@yahoo.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:47.0766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royalty Realty Group LLC,LLC,Active,2356195,2022-03-31,111 Queens Rd,Torrington,United States,06790-2821,CT,dejoncox2020@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,corponline@parasec.com,,2021-11-10 00:06:48.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANWER LLC,LLC,Active,2356206,2022-03-31,170 SOUTH ST FL1,HARTFORD,United States,06114,CT,anwerllc1@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,True,False,False,,"General Freight Trucking, Long-Distance, Truckload (484121)",2021-11-10 00:06:47.6700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustave Trucking LLC,LLC,Active,2356207,2022-03-31,129 Earle St,Hartford,United States,06120-1721,CT,gustavetruckingllc@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,True,False,False,,"General Freight Trucking, Local (484110)",2021-11-10 00:06:47.7166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dj-Kash LLC,LLC,Active,2356208,2022-03-31,400 Blake St,New Haven,United States,06515-4410,CT,infohjlegacy@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,True,False,False,infohjlegacy@gmail.com,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures (711410)",2021-11-10 00:06:47.7166667,5306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prevail Christian Apparel Limited Liability Company,LLC,Active,2356213,2022-03-31,6 Whitney Lane,West Haven,United States,06516,CT,prevailchristianapparel@yahoo.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,True,False,False,prevailchristianapparel@yahoo.com,Other Clothing Stores (448190),2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Nest LLC,LLC,Active,2356218,2022-03-31,3 Leslie St,Stamford,United States,06902-4611,CT,happynest21@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,True,False,False,,All Other Traveler Accommodation (721199),2021-11-10 00:06:47.7033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAWN PRO MANAGEMENT LLC,LLC,Active,2356224,2022-03-31,125 JOSEPH ST,WATERBURY,United States,06705,CT,klua09@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,True,False,False,,Landscaping Services (561730),2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT STUDIOS LLC,LLC,Active,2356231,2022-03-31,17 SKITCHEWAUG STREET,Windsor,United States,06095-4606,CT,ashfakul@hotmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,ashfakul@hotmail.com,Software Publishers (511210),2021-11-10 00:06:47.6700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whole Body Wellness, LLC",LLC,Active,2356237,2022-03-31,265 Quinnipiac Ave,North Haven,United States,06473-3715,CT,cheywardcoach@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,True,False,False,,All Other Health and Personal Care Stores (446199),2021-11-10 00:06:47.6866667,#B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152nd St Black Ballet Legacy Enterprises LLC,LLC,Active,2356242,2022-03-31,222 Main St,Farmington,United States,06032-3623,CT,152ndstbbl@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,True,False,False,,"Independent Artists, Writers, and Performers (711510)",2021-11-10 00:06:47.7033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition Of Success LLC,LLC,Active,2356248,2022-03-31,130 Marconi Ave,Bristol,United States,06010-6084,CT,successofdefinition@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,True,False,False,drdnotary@gmail.com,Men's Clothing Stores (448110),2021-11-10 00:06:47.6866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For The Family Home Improvement, LLC",LLC,Active,2356260,2022-03-31,78 Rose Hill Rd,Branford,United States,06405-4028,CT,michaelvbiehl96@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,True,False,,Residential Remodelers (236118),2021-11-10 00:06:47.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG REALTY RENTAL LLC,LLC,Active,2356701,2022-03-31,4 SOUTHVIEW AVE.,DANBURY,US,06811,CT,gibsonmike88@gmail.com,Domestic,,2021-10-01,,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:47.6866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GRACE DAWSON CT, LLC",LLC,Active,2356750,2022-03-31,175 OLIVE MILL LANE,SANTA BARBARA,US,93108,CA,,Foreign,US,2021-10-01,,DE,False,False,False,False,False,,646567,2021-11-10 00:06:47.7033333,,2021-10-15,"GRACE DAWSON CT, LLC",,"1012 COLLEGE ROAD, SUITE 201, DOVER, DE, 19904, United States","1012 COLLEGE ROAD, SUITE 201",DOVER,DE,19904,United States,"1012 COLLEGE ROAD, SUITE 201, DOVER, DE, 19904, United States","1012 COLLEGE ROAD, SUITE 201",DOVER,DE,19904,United States,,,,,,,,,,,,,,
ORANGE VA LLC,LLC,Active,2356871,2022-03-31,"2001 K STREET, NW, SUITE 775",WASHINGTON,US,20006,DC,,Foreign,US,2021-10-01,,DE,False,False,False,False,False,,,2021-11-10 00:06:48.2166667,,2021-09-28,ORANGE VA LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,
