name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,began_transacting_in_ct,billingcountry,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,naics_code,naics_sub_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,mailing_jurisdiction_country,total_authorized_shares,category_survey_email_address,billing_unit,date_of_organization_meeting,mailing_address
"DUPONT SPECIALTY PRODUCTS USA, LLC",LLC,Active,,1289521,2022-03-31,974 CENTRE RD,WILMINGTON,19805,DE,shalom.d.stratford@dupont.com,Foreign,2018-11-01,DE,DE,False,False,False,False,False,,2021-11-10 00:12:22.8033333,2018-11-01,United States,"DUPONT SPECIALTY PRODUCTS USA, LLC",United States,"974 CENTRE RD, WILMINGTON, DE, 19805,",974 CENTRE RD,WILMINGTON,DE,19805,All Other Basic Organic Chemical Manufacturing (325199),325199.0,"974 CENTRE RD, WILMINGTON, DE, 19805, United States",974 CENTRE RD,WILMINGTON,DE,19805,United States,,,,,,,
THE SEAFORTH GROUP LLC,LLC,Active,,1289524,2022-03-31,505 MERWINS LANE,FAIRFIELD,06824,CT,dmacken@optonline.net,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.8033333,,United States,,,,,,,,Other Financial Vehicles (525990),525990.0,,,,,,,,,,,,,
"REBECCA WAHL PSYCHIATRY, LLC",LLC,Active,,1289525,2022-03-31,85 ISLAND AVENUE,MADISON,06443,CT,rebeccawahl@gmail.com,Domestic,2018-11-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:22.8366667,,United States,,,,,,,,"Offices of Physicians, Mental Health Specialists (621112)",621112.0,,,,,,,,,,,,,
"FERRARI RESTORATIONS, LLC",LLC,Active,Ready for dissolution,1289526,2019-03-31,3 ROMA STREET UNIT C,EAST HAVEN,,CT,FERRARIRESTORATIONS@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.8366667,,,,,,,,,,,,,,,,,,,,,,,,
NIMISHAMBA DEVI LLC,LLC,Dissolved,,1289527,2022-03-31,12 RACE AVE.,PLAINVILLE,06062,CT,carlisfrilop@gmail.com,Domestic,2018-11-01,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:12:22.8366667,,United States,,,,,,,,Nonresidential Property Managers (531312),,,,,,,,2021-02-12T00:00:00.000,,,,,,
LAUREN AUWOOD M.A. LMFT LLC,LLC,Active,Ready for dissolution,1289528,2019-03-31,59 LEITAO DR,OAKDALE,06370,CT,LAURENALMFT@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.8366667,,,,,,,,,,,,,,,,,,,,,,,,
"CORESTATES DESIGN, P.C.",Stock,Active,,1289531,2022-11-01,3039 PREMIERE PARKWAY SUITE 700,DULUTH,30097,GA,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2018-11-01,NC,NC,False,False,False,False,False,,2021-11-10 00:12:22.8366667,2018-11-01,United States,"CORESTATES DESIGN, P.C.",United States,,,,,,Architectural Services (541310),541310.0,,,,,,,,,,,,,
"KIA-RUBICON, INC.",Stock,Active,,1289533,2022-11-01,1251 AVE OF THE AMERICAS 17TH FL,NEW YORK,10020,NY,Compliancemail@cscinfo.com,Foreign,2018-11-01,DE,DE,False,False,False,False,False,,2021-11-10 00:12:22.8366667,2018-10-31,United States,"KIA-RUBICON, INC.",United States,,,,,,Miscellaneous Financial Investment Activities (523999),523999.0,,,,,,,,,,annualreports@cscglobal.com,,,
"SPARTA CONSULTING, INC.",Stock,Active,,1289534,2022-11-01,399 Thornall Street,Edison,08837,NJ,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2018-11-01,CA,CA,False,False,False,False,False,,2021-11-10 00:12:22.8366667,2016-04-01,United States,"SPARTA CONSULTING, INC.",United States,,,,,,All Other Information Services (519190),519190.0,,,,,,,,,,,,,
BIRLASOFT SOLUTIONS INC.,Stock,Active,,1289537,2022-11-01,399 THORNALL STREET,EDISON,08837,NJ,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2018-11-01,NJ,NJ,False,False,False,False,False,,2021-11-10 00:12:22.8366667,2016-04-01,United States,BIRLASOFT SOLUTIONS INC.,United States,,,,,,Computer Systems Design Services (541512),,,,,,,,,,,,,,
FIZGIG LLC,LLC,Active,,1289541,2022-03-31,2152 DURHAM ROAD,MADISON,06443,CT,robtjm@gmail.com,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.8366667,,United States,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,
"AFFORDABLE CABINETS, GRANITE & TILE LLC",LLC,Active,Ready for dissolution,1289542,2019-03-31,1 S COLONY ST,WALLINGFORD,06492,CT,BRUFMELO@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.8366667,,,,,,,,,,,,,,,,,,,,,,,,
"BEST MOVE EVER, LLC",LLC,Active,Annual report past due,1289543,2021-03-31,"22 RADIO PLACE, UNIT 10",STAMFORD,06906,CT,fsmoore18@gmail.com,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.8366667,,United States,,,,,,,,All Other Support Activities for Transportation (488999),488999.0,,,,,,,,,,,,,
"WINDSOR FINANCIAL SERVICES, LLC",LLC,Active,,1289555,2022-03-31,33 STONEHENGE ROAD,SOUTH WINDSOR,06074,CT,manu.mazumdar@outlook.com,Domestic,2018-11-01,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:12:23.3500000,,United States,,,,,,,,Other Management Consulting Services (541618),541618.0,,,,,,,,,,,,,
QUALITY AFFORDABLE PAINTING LLC,LLC,Active,Ready for dissolution,1289557,2019-03-31,35 CARMELA TERRACE,ENFIELD,06082,CT,JDLEO72@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.3500000,,,,,,,,,,,,,,,,,,,,,,,,
CANTARELLA HAIR CONCEPTS LLC,LLC,Active,,1289560,2022-03-31,2456 WHITNEY AVE.,HAMDEN,06518,CT,Richardpennahair@gmail.com,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.3500000,,United States,,,,,,,,Beauty Salons (812112),,,,,,,,,,,,,,
"CLINICAL OUTCOMES SOLUTIONS, LLC",LLC,Active,,1289568,2022-03-31,1820 E RIVER RD #220,TUCSON,85718,AZ,FILINGMANAGER@CAPITOLSERVICES.COM,Foreign,2018-11-01,AZ,AZ,False,False,False,False,False,,2021-11-10 00:12:23.4000000,2018-10-15,United States,"CLINICAL OUTCOMES SOLUTIONS, LLC",United States,"1820 E RIVER RD #220, TUCSON, AZ, 85718,",1820 E RIVER RD #220,TUCSON,AZ,85718,Other Scientific and Technical Consulting Services (541690),541690.0,"1820 E RIVER RD #220, TUCSON, AZ, 85718, United States",1820 E RIVER RD #220,TUCSON,AZ,85718,United States,,,,,,,
"SCARRONE PARK, LLC",LLC,Active,,1289579,2022-03-31,3385 HEBRON AVENUE,GLASTONBURY,06033,CT,Mariatoc@cox.net,Domestic,2018-11-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:23.4000000,,United States,,,,,,,,Lessors of Other Real Estate Property (531190),531190.0,,,,,,,,,,,,,
UNCLE RALPHIES INC.,Non-Stock,Active,Ready for dissolution,1289582,2019-11-01,820 STAFFORD AVE,BRISTOL,06010,CT,Stepdaddysx5.rc.rc@gmail.com,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4000000,,,,,,,,,,,,,,,,,,,,,,,,
"MARVIN MINK RADIO, INC.",Non-Stock,Active,Ready for dissolution,1289587,2019-11-01,21 MAYFAIR ROAD,BLOOMFIELD,06002,CT,marvinmink@gmail.com,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4300000,,,,,,,,,,,,,,,,,,,,,,,,
BROAD STREET AFFORDABLE HOUSING LLC,LLC,Active,,1289588,2022-03-31,C/O MIDDLETOWN HOUSING AUTHORITY 40 BROAD STREET,MIDDLETOWN,06457,CT,billv40@hotmail.com,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.4300000,,United States,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,
JOHNSON CONTROLS-HITACHI AIR CONDITIONING NORTH AMERICA LLC,LLC,Active,,1289589,2022-03-31,"8304 ESTERS BLVD, SUITE 810",IRVING,75063,TX,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2018-11-01,DE,DE,False,False,False,False,False,,2021-11-10 00:12:23.4300000,2019-02-01,United States,JOHNSON CONTROLS-HITACHI AIR CONDITIONING NORTH AMERICA LLC,United States,"1209 ORANGE STREET, WILMINGTON, DE, 19801,",1209 ORANGE STREET,WILMINGTON,DE,19801,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers (423730),423730.0,"1209 ORANGE STREET, WILMINGTON, DE, 19801,",1209 ORANGE STREET,WILMINGTON,DE,19801,,,,,,,,
ADVANTAGE RESTORATION LLC,LLC,Active,Ready for dissolution,1289591,2019-03-31,17 CENTRAL AVE,MILFORD,06460,CT,MEG_MORRILL@HOTMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4300000,,,,,,,,,,,,,,,,,,,,,,,,
"SECURITY FIRST MANAGERS, LLC",LLC,Active,,1289595,2022-03-31,1001 BROADWAY AVENUE,ORMOND BEACH,32174,FL,sosfilings@3hcs.com,Foreign,2018-11-01,FL,FL,False,False,False,False,False,,2021-11-10 00:12:23.4300000,2018-11-15,United States,"SECURITY FIRST MANAGERS, LLC",United States,"1001 BROADWAY AVENUE, ORMOND BEACH, FL, 32174, United States",1001 BROADWAY AVENUE,ORMOND BEACH,FL,32174,Insurance Agencies and Brokerages (524210),524210.0,"1001 BROADWAY AVENUE, ORMOND BEACH, FL, 32174, United States",1001 BROADWAY AVENUE,ORMOND BEACH,FL,32174,United States,,United States,,,,,
"131 MONICA ROAD, LLC",LLC,Active,Ready for dissolution,1289603,2019-03-31,12 BROOKSIDE PARK,OLD GREENWICH,06870,CT,,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4300000,,,,,,,,,,,,,,,,,,,,,,,,
"THE OFFICIAL RUN 169 TOWNS SOCIETY, INC.",Non-Stock,Active,Ready for dissolution,1289617,2019-11-01,680 LAKE AVENUE,BRISTOL,06010,CT,theofficialrun169townssociety@comcast.net,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4766667,,,,,,,,,,,,,,,,,,,,,,,,
AZH ENTERPRISE LLC,LLC,Active,Ready for dissolution,1289635,2019-03-31,50 BURLINGTON ROAD,UNIONVILLE,06085,CT,ZIMAN0104@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9300000,,,,,,,,,,,,,,,,,,,,,,,,
"LIBBY'S GARDEN, LLC",LLC,Active,Ready for dissolution,1289640,2019-03-31,1029 STORRS ROAD,STORRS,06268,CT,,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9300000,,,,,,,,,,,,,,,,,,,,,,,,
"PETALS HOLDING COMPANY, LLC",LLC,Active,Ready for dissolution,1289644,2020-03-31,37 HIGH ST,CLINTON,06413,CT,JJZMD07@AOL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9300000,,United States,,,,,,,,,,,,,,,,,,,,,,
HAIBACH LLC,LLC,Active,,1289645,2022-03-31,35 STONYBROOK ROAD,NORWALK,06851,CT,matthiasalfen@yahoo.com,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9300000,,United States,,,,,,,,All Other Personal Services (812990),812990.0,,,,,,,,,,,,,
"ABOVE AND BEYOND MOVE MANAGEMENT, LLP",LLP,Active,,1289708,2022-11-01,800 LAKE AVE,GREENWICH,06830,CT,info@aboveandbeyondct.com,Domestic,2018-11-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:24.5700000,,United States,,,,,,,,Other Personal and Household Goods Repair and Maintenance (811490),,,,,,,,,,,,,,
"WELLNESS & WARRIORS, LLC",LLC,Active,Ready for dissolution,1289712,2020-03-31,57 BERGENDAHL DR,GRISWOLD,06351,CT,JENNIFERVANTINE@SBCGLOBAL.NET,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.5700000,,United States,,,,,,,,,,,,,,,,,,,,,,
"CLEAN OUR LANDS, INC.",Non-Stock,Active,Ready for dissolution,1289756,2019-11-01,206 OSBORNE ST,DANBURY,06810,CT,cleanourlands@gmail.com,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.6633333,,,,,,,,,,,,,,,,,,,,,,,,
ELLA PHOTOGRAPHY,General Partnerships,Recorded,,1289642,,6 ASH STREET,ENFIELD,06082,CT,,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:56.2333333,,,,,,,,,,,,,,,,,,,,,,,,
CONQUEST MECHANICAL LLC,LLC,Dissolved,,1289444,2019-03-31,64 WISLOCK STREET,WATERBURY,06705,CT,TIKUCELIKU@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:02.1233333,,,,,,,,,,,,,,,,,,2019-04-02T00:00:00.000,,,,,,
REJUVENATEDBLENDS LLC,LLC,Dissolved,,1289500,2020-03-31,1201 WASHINGTON BLVD SUITE403,STAMFORD,06902,CT,PATTRADEE@OUTLOOK.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:04.0400000,,,,,,,,,,,,,,,,,,2020-02-24T00:00:00.000,,,,,,
"HARDLY SUPERFICIAL, LLC",LLC,Dissolved,,1289503,2019-03-31,573 HOPMEADOW STREET,SIMSBURY,06070,CT,NICOLEVENO@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:30.4533333,,,,,,,,,,,,,,,,,,2020-05-25T00:00:00.000,,,,,,
KEY NAILS INC,Stock,Dissolved,,1289506,,No information provided,,,,TSJEONG2727@HOTMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:32.6400000,,,,,,,,,,,,,,,,,,2019-10-04T00:00:00.000,,200.0,,,,
DOVER READ LLC,LLC,Withdrawn,,1289616,2020-03-31,94 CENTRE ST.,DOVER,02030,MA,dws67@yahoo.com,Foreign,2018-11-01,MA,MA,False,False,False,False,False,,2021-11-10 00:05:30.7200000,2018-06-29,United States,DOVER READ LLC,United States,"94 CENTRE ST., DOVER, MA, United States",94 CENTRE ST.,DOVER,MA,,,,"94 CENTRE ST., DOVER, MA, United States",94 CENTRE ST.,DOVER,MA,,United States,,United States,,,,,
"KEYSTONE STRUCTURAL ENGINEERING, LLC",LLC,Withdrawn,,1289469,2020-03-31,575 HOSTETTER LN.,ANNVILLE,17003,PA,GARY@KEYSTONESE.COM,Foreign,2018-11-01,PA,PA,False,False,False,False,False,,2021-11-10 00:03:34.5700000,2018-11-01,United States,"KEYSTONE STRUCTURAL ENGINEERING, LLC",United States,"575 HOSTETTER LN., ANNVILLE, PA, 17003,",575 HOSTETTER LN.,ANNVILLE,PA,17003,,,"575 HOSTETTER LN., ANNVILLE, PA, 17003, United States",575 HOSTETTER LN.,ANNVILLE,PA,17003,United States,,,,,,,
321 BURNHAM STREET ASSOCIATES,General Partnerships,Dissolved,,1289717,,No information provided,,,,,Domestic,2018-11-01,,Connecticut,False,False,False,False,False,,2021-11-10 00:03:39.7733333,,,,,,,,,,,,,,,,,,,,,,,,
"ELITE PRACTICE PARTNERS, LLC",LLC,Dissolved,,1289545,2019-03-31,ELITE PRECTICE PARTNERS LLC INFINITY HARBOR POINT 201 COMMONS PARK SOUTH UNIT 1508,STAMFORD,06902,CT,JUSTIN.MARTI1@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:03:52.7266667,,,,,,,,,,,,,,,,,,2019-03-29T00:00:00.000,,,,,,
DEMMEM LLC,LLC,Dissolved,,1289462,2019-03-31,586 EDISON ROAD,TRUMBULL,06611,CT,SMESSINA4@AOL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:03:57.7900000,,,,,,,,,,,,,,,,,,2019-03-07T00:00:00.000,,,,,,
"THE TEACHING COMPANY SALES, LLC",LLC,Active,,1288597,2022-03-31,4840 WESTFIELDS BLVD SUITE 500,CHANTILLY,20151,VA,LEGAL@TEACHCO.COM,Foreign,2018-11-02,DE,DE,False,False,False,False,False,,2021-11-10 00:12:24.6000000,2019-01-01,United States,"THE TEACHING COMPANY SALES, LLC",United States,"4840 WESTFIELDS BLVD SUITE 500, NONE, VA, 20151, United States",4840 WESTFIELDS BLVD SUITE 500,NONE,VA,20151,Electronic Shopping and Mail-Order Houses (454110),454110.0,"4840 WESTFIELDS BLVD SUITE 500, CHANTILLY, VA, 20151, United States",4840 WESTFIELDS BLVD SUITE 500,CHANTILLY,VA,20151,United States,,United States,,,,,
SMOKERS DREAM WORLD 2 LLC,LLC,Active,,1289529,2022-03-31,1211 MERIDEN WATERBURY TURNPIKE,PLANTSVILLE,06479,CT,taskofficework@gmail.com,Domestic,2018-11-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.8366667,,United States,,,,,,,,Tobacco Stores (453991),453991.0,,,,,,,,,,,,,
"NEW ENGLAND INSTRUMENT CONNECTICUT DIVISION, LLC",LLC,Active,Ready for dissolution,1289535,2019-03-31,42 GERARD STREET,MANCHESTER,06040,CT,RPASSORR1@COX.NET,Domestic,2018-11-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.8366667,,,,,,,,,,,,,,,,,,,,,,,,
DCRM REAL ESTATE LLC,LLC,Active,,1289538,2022-03-31,15 MOUNTAINVIEW COURT,OXFORD,06478,CT,FARDELLA@AOL.COM,Domestic,2018-11-02,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:22.8366667,,United States,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,
UNA DOLCE VITA LLC,LLC,Active,,1289540,2022-03-31,149-11 17TH ROAD,WHITESTONE,11357,NY,josephtola@aol.com,Domestic,2018-11-02,NY,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.8366667,,United States,,,,,,,,Baked Goods Stores (445291),445291.0,,,,,,,,,,,,,
WESTERLY MARINE CANVAS LLC,LLC,Active,,1289544,2022-03-31,11 WOODLAND ROAD,WATERFORD,06358,CT,westerlymarinecanvas@yahoo.com,Domestic,2018-11-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.3500000,,United States,,,,,,,,Textile Bag and Canvas Mills (314910),,,,,,,,,,,,,,
HOP BROOK STORAGE LLC,LLC,Active,,1289546,2022-03-31,185 FAIRWOOD ROAD,BETHANY,06524,CT,wendygrieger@sbcglobal.net,Domestic,2018-11-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.3500000,,United States,,,,,,,,Nonresidential Property Managers (531312),531312.0,,,,,,,,,,,,,
"NEWFIELD ACCOUNTING, LLC",LLC,Active,,1289547,2022-03-31,149 CLUB ROAD,STAMFORD,06905,CT,joann@newfieldaccounting.com,Domestic,2018-11-02,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:23.3500000,,United States,,,,,,,,Other Accounting Services (541219),541219.0,,,,,,,,,,,,,
DR. AUTOMOTIVE SERVICE CENTER LLC,LLC,Active,Ready for dissolution,1289551,2019-03-31,1000-B  NEWFIELD ST,MIDDLETOWN,06457,CT,NRAMJASS@YAHOO.COM,Domestic,2018-11-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.3500000,,,,,,,,,,,,,,,,,,,,,,,,
PRIMETIME LOGISTICS OF NEW ENGLAND LLC,LLC,Active,,1289554,2022-03-31,27-29 WARNER STREET,HARTFORD,06114,CT,OfficeManager@ptl-newengland.com,Domestic,2018-11-02,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:12:23.3500000,,United States,,,,,,,,"General Freight Trucking, Local (484110)",,,,,,,,,,,,,,
"LSG VENTURES, LLC",LLC,Active,,1289556,2022-03-31,20 PARTRICK LANE,WESTPORT,06880,CT,leighfgallagher79@gmail.com,Domestic,2018-11-02,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:23.3500000,,United States,,,,,,,,Miscellaneous Financial Investment Activities (523999),,,,,,,,,,,,,,
GEORGETOWN TRADING POST LLC,LLC,Dissolved,,1289559,2019-03-31,29 OLD MILL ROAD,REDDING,06896,CT,GEORGETOWNTRADINGPOST@GMAIL.COM,Domestic,2018-11-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.3500000,,,,,,,,,,,,,,,,,,2021-03-17T00:00:00.000,,,,,,
VOILIER INC.,Non-Stock,Active,First report past due,1289562,2020-11-02,No information provided,,,,VILIERINC@GMAIL.COM,Domestic,2018-11-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.3500000,,,,,,,,,,,,,,,,,,,,,,,,
SER & VIC CONSTRUCTION LLC,LLC,Active,,1289563,2022-03-31,44 IRION ST,WATERBURY,06704,CT,maninderarora67@gmail.com,Domestic,2018-11-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.3666667,,United States,,,,,,,,All Other Specialty Trade Contractors (238990),238990.0,,,,,,,,,,,,,
"BACKOFFICE FINANCE SOLUTIONS, LLC",LLC,Active,Annual report past due,1289564,2021-03-31,197 JOSIES RING ROAD,MONROE,06468,CT,mh.bfsllc@gmail.com,Domestic,2018-11-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.3666667,,United States,,,,,,,,Third Party Administration of Insurance and Pension Funds (524292),524292.0,,,,,,,,,,,,,
2988 EAST MAIN STREET LLC,LLC,Active,Annual report past due,1289567,2021-03-31,1803 KENWOOD AVENUE,AUSTIN,78704,TX,jt@jtross.com,Domestic,2018-11-02,TX,Connecticut,False,False,False,True,False,,2021-11-10 00:12:23.4000000,,United States,,,,,,,,Lessors of Other Real Estate Property (531190),,,,,,,,,,,,,,
"GENERATIONS HOME  CARE, LLC",LLC,Active,,1289569,2022-03-31,297 E. CENTER STREET SUITE B,MANCHESTER,06040,CT,HMENSAH@HENRYMENSAHCPA.COM,Domestic,2018-11-02,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:12:23.4000000,,United States,,,,,,,,Home Health Care Services (621610),621610.0,,,,,,,,,,,,,
"LOAN SCIENCE, LLC",LLC,Active,,1289570,2022-03-31,2201 DONLEY DRIVE SUITE 110,AUSTIN,78758,TX,compliance@loanscience.com,Foreign,2018-11-02,TX,TX,False,False,False,False,False,,2021-11-10 00:12:23.4000000,2019-01-01,United States,"LOAN SCIENCE, LLC",United States,"2201 DONLEY DRIVE SUITE 110, AUSTIN, TX, 78758, United States",2201 DONLEY DRIVE SUITE 110,AUSTIN,TX,78758,Consumer Lending (522291),522291.0,"2201 DONLEY DRIVE SUITE 110, AUSTIN, TX, 78758, United States",2201 DONLEY DRIVE SUITE 110,AUSTIN,TX,78758,United States,,United States,,,,,
DRASTIK NAILS LLC,LLC,Active,,1289571,2022-03-31,156 FERRY ST,NEW HAVEN,06513,CT,DRASTIKNAILSLLC@GMAIL.COM,Domestic,2018-11-02,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:12:23.4000000,,United States,,,,,,,,Nail Salons (812113),812113.0,,,,,,,,,,,,,
MJC PROPERTY SERVICES LLC,LLC,Active,Ready for dissolution,1289572,2019-03-31,120 DAVID DRIVE,COVENTRY,06238,CT,MC130226COTE@AOL.COM,Domestic,2018-11-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4000000,,,,,,,,,,,,,,,,,,,,,,,,
MESSING & SPECTOR LLP,LLP,Active,Annual report past due,1289573,2021-11-02,1200 STEUART ST UNIT 1414,BALTIMORE,21230,MD,ps@messingspector.com,Foreign,2018-11-02,MD,MD,False,False,False,False,False,,2021-11-10 00:12:23.4000000,2018-11-05,United States,MESSING & SPECTOR LLP,United States,,,,,,All Other Legal Services (541199),,,,,,,,,,,,,,
JAY'S ROOFING LLC,LLC,Active,Annual report past due,1289574,2021-03-31,1765 STARTFORD AVE,BRIDGEPORT,06607,CT,jays_roofing@yahoo.com,Domestic,2018-11-02,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:12:23.4000000,,United States,,,,,,,,Roofing Contractors (238160),238160.0,,,,,,,,,,,,,
WATSON BOWMAN ACME CORP.,Stock,Active,Annual report past due,1289576,2021-11-02,95 PINEVIEW DRIVE,AMHERST,14228,NY,cls-ctarmsevidence@wolterskluwer.com,Foreign,2018-11-02,DE,DE,False,False,False,False,False,,2021-11-10 00:12:23.4000000,2018-11-02,United States,WATSON BOWMAN ACME CORP.,United States,,,,,,"Highway, Street, and Bridge Construction (237310)",,,,,,,,,,,,,,
"PROFIT CREATION IT, L.L.C.",LLC,Active,,1289577,2022-03-31,24 FOXRIDGE LN,AVON,06001,CT,concord@rlitllc.com,Domestic,2018-11-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.4000000,,United States,,,,,,,,Other Computer Related Services (541519),541519.0,,,,,,,,,,,,,
"DASH NAIL SPA, INC.",Stock,Active,First report past due,1289578,2020-11-02,No information provided,,,,WENDYTAX@YAHOO.COM,Domestic,2018-11-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.4000000,,,,,,,,,,,,,,,,,,,,200.0,,,,
"107 STATE STREET LEGAL, LLC",LLC,Active,,1289580,2022-03-31,12 SPINNAKER ROAD,WATERFORD,06385,CT,gmassad@messiermassad.com,Domestic,2018-11-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.4000000,,United States,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,
